,Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007,Total_transcripts_per_million_sequences,Reads_per_Kb_per_million_mapped_reads
235,Tara_Oceans,ERR598945,dddY,0,-60.2287,-60.6476,5,SRF,0.22,3.0,SO,ANTA,0.0,0.0
236,Tara_Oceans,ERR598952,dddY,0,2.0299,-84.5546,30,DCM,0.22,3.0,NPO,CHIL,0.0,0.0
237,Tara_Oceans,ERR598953,dddY,6,-12.9794,-96.0232,177,DCM,0.22,3.0,SPO,SPSG,0.2544048827420335,0.21147538050044346
238,Tara_Oceans,ERR598956,dddY,2,-8.9109,-140.2845,150,MIX,0.22,3.0,SPO,SPSG,0.08038120949364781,0.06681729799970725
239,Tara_Oceans,ERR598976,dddY,21,36.1715,-29.023000000000003,5,SRF,0.22,3.0,NAO,NAST-E,0.204093646212003,0.16965390375062592
240,Tara_Oceans,ERR598977,dddY,0,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS,0.0,0.0
241,Tara_Oceans,ERR598988,dddY,0,-9.0714,-140.5973,120,MIX,0.22,3.0,SPO,SPSG,0.0,0.0
242,Tara_Oceans,ERR598999,dddY,1,-8.9729,-139.2393,600,MES,0.22,3.0,SPO,SPSG,0.03578056921876347,0.02974278405549748
243,Tara_Oceans,ERR599004,dddY,0,6.3559,-103.0598,450,MES,0.22,3.0,NPO,PNEC,0.0,0.0
244,Tara_Oceans,ERR599010,dddY,4,-20.9354,-35.1803,5,SRF,0.22,3.0,SAO,SATL,0.2002095493248008,0.16642522803391588
245,Tara_Oceans,ERR599011,dddY,1,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS,0.05008051945918648,0.04162969198602367
246,Tara_Oceans,ERR599015,dddY,1,14.2025,-116.6433,375,MES,0.22,3.0,NPO,PNEC,0.036013222470709455,0.029936178279891486
247,Tara_Oceans,ERR599016,dddY,2,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG,0.09382826303383648,0.07799523111707106
248,Tara_Oceans,ERR599022,dddY,15,-30.1367,-43.2899,5,SRF,0.22,3.0,SAO,SATL,0.7018510197684762,0.5834173065407117
249,Tara_Oceans,ERR599027,dddY,0,-47.2007,-57.9446,40,DCM,0.22,3.0,SAO,FKLD,0.0,0.0
